Internship_ID,Company,Role,Sector,Location,Stipend(INR),Duration(Months),Required_Skills,Mode,Openings,Education_Requirement,Experience_Level
INT1063,HCL,ML Engineer Intern,AI/ML,Kolkata,15000,4,"Deep Learning, PyTorch",Onsite,2,Bachelor,Fresher
INT1064,Microsoft,Cloud Intern,Cloud Computing,Delhi,10000,2,"Kubernetes, Docker, AWS, Terraform",Onsite,9,Bachelor,Fresher
INT1065,IBM,Cybersecurity Intern,Cybersecurity,Hyderabad,8000,2,"Network Security, Penetration Testing, Wireshark, Python",Remote,3,Bachelor,Fresher
INT1066,Wipro,ML Engineer Intern,AI/ML,Mumbai,15000,4,"PyTorch, TensorFlow, Deep Learning, Python",Hybrid,5,Bachelor,Fresher
INT1067,Amazon,Cloud Intern,Cloud Computing,Bangalore,15000,4,"Azure, GCP, Docker",Onsite,7,Diploma,Fresher
INT1068,Wipro,ML Engineer Intern,AI/ML,Bangalore,20000,6,"Python, Machine Learning, PyTorch",Onsite,6,Bachelor,Fresher
INT1069,Oracle,UI/UX Intern,UI/UX,Hyderabad,12000,3,"Design Thinking, Figma, HTML/CSS/JS, Prototyping",Onsite,4,Bachelor,Fresher
INT1070,Wipro,ML Engineer Intern,AI/ML,Kolkata,20000,6,"Model Deployment, TensorFlow",Onsite,5,Bachelor,Fresher
INT1071,Amazon,Cybersecurity Intern,Cybersecurity,Mumbai,12000,2,"Linux, Python, Wireshark, Cybersecurity",Hybrid,2,High School,Fresher
INT1072,Google,Web Developer Intern,Web Development,Delhi,5000,4,"Node.js, REST APIs, React, SQL",Onsite,10,Bachelor,1-2 Years
INT1073,Wipro,Web Developer Intern,Web Development,Hyderabad,10000,4,"SQL, Node.js",Remote,4,Bachelor,Fresher
INT1074,Accenture,Cloud Intern,Cloud Computing,Hyderabad,15000,3,"Kubernetes, Terraform",Remote,1,Bachelor,Fresher
INT1075,Wipro,ML Engineer Intern,AI/ML,Bangalore,20000,3,"PyTorch, Python",Onsite,7,Diploma,1-2 Years
INT1076,Microsoft,UI/UX Intern,UI/UX,Chennai,5000,6,"Prototyping, HTML/CSS/JS, Design Thinking",Onsite,2,Bachelor,Fresher
INT1077,Wipro,Business Analyst Intern,Business Analytics,Mumbai,12000,3,"Power BI, SQL, Excel",Onsite,3,Bachelor,Fresher
INT1078,Amazon,ML Engineer Intern,AI/ML,Bangalore,20000,3,"Model Deployment, TensorFlow, Python, Machine Learning",Onsite,7,Bachelor,Fresher
INT1079,Oracle,Cybersecurity Intern,Cybersecurity,Mumbai,15000,4,"Penetration Testing, Linux",Remote,4,Diploma,Fresher
INT1080,Microsoft,Web Developer Intern,Web Development,Bangalore,10000,2,"React, SQL",Onsite,9,Diploma,Fresher
INT1081,Wipro,Cloud Intern,Cloud Computing,Pune,10000,3,"AWS, Kubernetes, Terraform",Onsite,5,Master,Fresher
INT1082,Infosys,Data Analyst Intern,Data Science,Kolkata,12000,1,"Pandas, Python",Onsite,4,Bachelor,Fresher
INT1083,HCL,AI Research Intern,AI/ML,Chennai,10000,5,"PyTorch, Python, NLP",Hybrid,9,Bachelor,Fresher
INT1084,HCL,Business Analyst Intern,Business Analytics,Mumbai,8000,2,"Communication, Business Analytics, Requirements Gathering",Hybrid,9,Bachelor,Fresher
INT1085,TCS,Data Analyst Intern,Data Science,Chennai,12000,1,"Pandas, Statistics",Onsite,5,Bachelor,1-2 Years
INT1086,Oracle,AI Research Intern,AI/ML,Bangalore,15000,6,"Python, TensorFlow, PyTorch, NLP",Remote,6,Bachelor,Fresher
INT1087,TCS,Data Analyst Intern,Data Science,Bangalore,8000,6,"Tableau, SQL",Onsite,1,Bachelor,Fresher
INT1088,Amazon,Cloud Intern,Cloud Computing,Mumbai,10000,5,"GCP, AWS, Terraform, Kubernetes",Hybrid,3,Master,Fresher
INT1089,Google,Data Analyst Intern,Data Science,Bangalore,10000,3,"SQL, Excel, Pandas",Remote,1,Bachelor,1-2 Years
INT1090,Microsoft,Web Developer Intern,Web Development,Pune,8000,2,"HTML/CSS/JS, REST APIs, Bootstrap",Onsite,6,Bachelor,2-4 Years
INT1091,TCS,ML Engineer Intern,AI/ML,Delhi,10000,5,"TensorFlow, PyTorch, Model Deployment",Remote,1,Bachelor,1-2 Years
INT1092,Amazon,Web Developer Intern,Web Development,Pune,5000,4,"SQL, REST APIs, Node.js",Onsite,10,Bachelor,Fresher
INT1093,HCL,AI Research Intern,AI/ML,Hyderabad,20000,1,"Python, NLP, TensorFlow, Machine Learning",Onsite,5,Master,Fresher
INT1094,Google,Business Analyst Intern,Business Analytics,Bangalore,10000,4,"Power BI, Communication, Business Analytics, Excel",Onsite,3,Diploma,Fresher
INT1095,HCL,AI Research Intern,AI/ML,Hyderabad,20000,1,"Python, Machine Learning",Remote,4,Bachelor,Fresher
INT1096,IBM,ML Engineer Intern,AI/ML,Remote,15000,2,"Machine Learning, PyTorch, TensorFlow",Onsite,5,Bachelor,Fresher
INT1097,Wipro,Cloud Intern,Cloud Computing,Mumbai,15000,5,"AWS, Azure, Kubernetes",Onsite,2,Master,Fresher
INT1098,HCL,DevOps Intern,DevOps,Delhi,8000,4,"DevOps, Jenkins, CI/CD, Python",Remote,2,Bachelor,Fresher
INT1099,IBM,DevOps Intern,DevOps,Bangalore,15000,2,"DevOps, Jenkins, CI/CD, Kubernetes",Onsite,4,Bachelor,Fresher
INT1100,Amazon,Business Analyst Intern,Business Analytics,Hyderabad,5000,5,"Power BI, Communication",Onsite,4,Bachelor,Fresher
INT1101,Accenture,Business Analyst Intern,Business Analytics,Delhi,12000,2,"Communication, SQL",Onsite,7,Bachelor,Fresher
INT1102,Oracle,ML Engineer Intern,AI/ML,Delhi,10000,1,"Deep Learning, Machine Learning, Model Deployment",Onsite,9,Bachelor,Fresher
INT1103,Accenture,Software Engineer Intern,Software Development,Pune,10000,2,"Linux, Git",Onsite,3,Bachelor,Fresher
INT1104,Amazon,DevOps Intern,DevOps,Chennai,8000,3,"CI/CD, Python, Docker, DevOps",Onsite,7,Diploma,Fresher
INT1105,Infosys,AI Research Intern,AI/ML,Chennai,10000,6,"Machine Learning, Deep Learning, PyTorch",Onsite,5,Master,Fresher
INT1106,TCS,ML Engineer Intern,AI/ML,Delhi,10000,1,"Python, PyTorch, TensorFlow",Hybrid,6,Master,Fresher
INT1107,Oracle,Software Engineer Intern,Software Development,Chennai,15000,3,"Git, Linux, Algorithms, Java",Onsite,2,High School,Fresher
INT1108,TCS,Cloud Intern,Cloud Computing,Bangalore,15000,6,"Terraform, Kubernetes",Hybrid,7,Bachelor,1-2 Years
INT1109,HCL,Cybersecurity Intern,Cybersecurity,Chennai,12000,6,"Wireshark, Penetration Testing, Linux",Remote,6,Bachelor,Fresher
INT1110,Accenture,AI Research Intern,AI/ML,Kolkata,15000,1,"TensorFlow, Machine Learning, NLP, Deep Learning",Hybrid,8,Bachelor,1-2 Years
INT1111,Google,Data Analyst Intern,Data Science,Kolkata,5000,2,"Python, Tableau, Statistics, Power BI",Onsite,10,Master,Fresher
INT1112,Wipro,Cloud Intern,Cloud Computing,Bangalore,15000,6,"Terraform, GCP, Kubernetes, Cloud",Remote,7,Bachelor,Fresher
INT1113,HCL,Software Engineer Intern,Software Development,Mumbai,12000,3,"Git, Python, Linux",Remote,6,High School,Fresher
INT1114,Amazon,Data Analyst Intern,Data Science,Mumbai,8000,2,"Pandas, Power BI, Excel",Remote,9,Master,Fresher
INT1115,Microsoft,ML Engineer Intern,AI/ML,Mumbai,20000,5,"Deep Learning, Model Deployment",Remote,4,Master,Fresher
INT1116,Wipro,DevOps Intern,DevOps,Mumbai,12000,2,"Jenkins, Kubernetes, CI/CD",Onsite,8,Bachelor,Fresher
INT1117,Accenture,Web Developer Intern,Web Development,Delhi,5000,2,"Node.js, HTML/CSS/JS",Remote,9,Diploma,Fresher
INT1118,Microsoft,Business Analyst Intern,Business Analytics,Mumbai,12000,3,"Excel, SQL, Communication, Requirements Gathering",Onsite,6,Bachelor,1-2 Years
INT1119,Infosys,Cybersecurity Intern,Cybersecurity,Delhi,12000,1,"Penetration Testing, Cybersecurity, Linux, Wireshark",Onsite,3,Bachelor,Fresher
INT1120,IBM,AI Research Intern,AI/ML,Remote,10000,1,"TensorFlow, Machine Learning",Onsite,1,Master,Fresher
INT1121,TCS,Business Analyst Intern,Business Analytics,Delhi,12000,6,"Requirements Gathering, SQL",Remote,7,Diploma,2-4 Years
INT1122,Infosys,DevOps Intern,DevOps,Mumbai,15000,3,"Docker, CI/CD, Python",Onsite,3,Diploma,2-4 Years
INT1123,IBM,UI/UX Intern,UI/UX,Pune,10000,1,"Figma, UI/UX, User Research, Prototyping",Remote,10,Diploma,Fresher
INT1124,Google,AI Research Intern,AI/ML,Kolkata,15000,5,"Deep Learning, PyTorch, Python",Onsite,10,Bachelor,2-4 Years
INT1125,TCS,UI/UX Intern,UI/UX,Chennai,12000,6,"HTML/CSS/JS, UI/UX, Prototyping",Onsite,6,High School,Fresher
INT1126,IBM,Data Analyst Intern,Data Science,Delhi,12000,2,"Tableau, Pandas, Power BI, SQL",Remote,5,Bachelor,Fresher
INT1127,Microsoft,DevOps Intern,DevOps,Bangalore,15000,5,"Python, Jenkins",Onsite,1,Diploma,Fresher
INT1128,Microsoft,Software Engineer Intern,Software Development,Hyderabad,10000,2,"Python, Algorithms, Git, Java",Hybrid,3,Bachelor,1-2 Years
INT1129,Wipro,Cloud Intern,Cloud Computing,Kolkata,20000,6,"Cloud, GCP",Hybrid,7,Bachelor,Fresher
INT1130,Infosys,Web Developer Intern,Web Development,Remote,8000,6,"Node.js, SQL",Onsite,5,Bachelor,Fresher
INT1131,Wipro,AI Research Intern,AI/ML,Bangalore,15000,1,"NLP, Python, Deep Learning",Remote,1,Diploma,Fresher
INT1132,Wipro,Software Engineer Intern,Software Development,Bangalore,8000,1,"Python, Algorithms",Onsite,5,Diploma,Fresher
INT1133,Amazon,Software Engineer Intern,Software Development,Mumbai,20000,4,"Java, Data Structures",Onsite,4,Bachelor,Fresher
INT1134,Microsoft,Business Analyst Intern,Business Analytics,Bangalore,8000,5,"Power BI, SQL, Requirements Gathering",Onsite,8,Bachelor,1-2 Years
INT1135,Oracle,Cybersecurity Intern,Cybersecurity,Remote,15000,5,"Cybersecurity, Linux, Network Security",Onsite,2,Bachelor,Fresher
INT1136,HCL,Cloud Intern,Cloud Computing,Mumbai,15000,1,"Kubernetes, Docker, GCP",Remote,2,Bachelor,Fresher
INT1137,Wipro,AI Research Intern,AI/ML,Chennai,15000,6,"Python, Deep Learning, NLP",Remote,10,Master,Fresher
INT1138,Accenture,UI/UX Intern,UI/UX,Pune,8000,3,"HTML/CSS/JS, Design Thinking, User Research, Prototyping",Onsite,8,Bachelor,Fresher
INT1139,TCS,DevOps Intern,DevOps,Kolkata,12000,1,"DevOps, Kubernetes, Python",Onsite,8,Bachelor,2-4 Years
INT1140,IBM,Data Analyst Intern,Data Science,Hyderabad,10000,5,"Statistics, Python, SQL, Power BI",Remote,10,Bachelor,Fresher
INT1141,Amazon,Data Analyst Intern,Data Science,Kolkata,8000,3,"Excel, Pandas",Hybrid,1,Master,Fresher
INT1142,Infosys,UI/UX Intern,UI/UX,Mumbai,5000,4,"Design Thinking, UI/UX, Figma",Hybrid,4,Bachelor,Fresher
INT1143,Wipro,Business Analyst Intern,Business Analytics,Bangalore,8000,6,"Power BI, Excel, Communication, SQL",Onsite,5,High School,Fresher
INT1144,Oracle,Web Developer Intern,Web Development,Delhi,5000,2,"React, Node.js, Bootstrap",Onsite,4,Diploma,Fresher
INT1145,HCL,Cybersecurity Intern,Cybersecurity,Kolkata,12000,6,"Wireshark, Linux",Onsite,7,Bachelor,1-2 Years
INT1146,HCL,Cybersecurity Intern,Cybersecurity,Chennai,12000,2,"Cybersecurity, Python, Wireshark, Linux",Remote,4,Bachelor,Fresher
INT1147,Oracle,Software Engineer Intern,Software Development,Delhi,10000,6,"Algorithms, C++",Onsite,7,Bachelor,Fresher
INT1148,HCL,Cybersecurity Intern,Cybersecurity,Pune,8000,1,"Cybersecurity, Python",Remote,8,Bachelor,2-4 Years
INT1149,Amazon,ML Engineer Intern,AI/ML,Pune,10000,4,"Python, Machine Learning",Onsite,2,Bachelor,Fresher
INT1150,Amazon,ML Engineer Intern,AI/ML,Hyderabad,20000,3,"Python, PyTorch, Machine Learning, Model Deployment",Onsite,1,Bachelor,2-4 Years
INT1151,Wipro,Cloud Intern,Cloud Computing,Chennai,15000,4,"AWS, Kubernetes, Cloud",Onsite,5,Bachelor,Fresher
INT1152,Google,ML Engineer Intern,AI/ML,Hyderabad,10000,5,"TensorFlow, Python",Remote,9,Bachelor,2-4 Years
INT1153,Infosys,Software Engineer Intern,Software Development,Mumbai,20000,6,"Python, Git, Algorithms, Linux",Onsite,6,Bachelor,1-2 Years
INT1154,HCL,Data Analyst Intern,Data Science,Bangalore,12000,5,"Python, Tableau, Statistics",Onsite,4,Bachelor,Fresher
INT1155,HCL,Business Analyst Intern,Business Analytics,Mumbai,8000,6,"Requirements Gathering, Business Analytics, Communication, SQL",Onsite,5,High School,Fresher
INT1156,Wipro,Web Developer Intern,Web Development,Kolkata,8000,3,"REST APIs, Node.js, React",Remote,3,High School,1-2 Years
INT1157,Wipro,Data Analyst Intern,Data Science,Pune,5000,4,"Statistics, Excel, SQL",Onsite,9,Diploma,Fresher
INT1158,Accenture,AI Research Intern,AI/ML,Remote,20000,4,"TensorFlow, NLP, PyTorch",Onsite,7,Bachelor,Fresher
INT1159,Accenture,Web Developer Intern,Web Development,Mumbai,8000,5,"REST APIs, React, SQL, HTML/CSS/JS",Onsite,10,High School,Fresher
INT1160,Oracle,Cloud Intern,Cloud Computing,Delhi,15000,1,"Azure, AWS, GCP, Kubernetes",Remote,8,Master,2-4 Years
INT1161,Infosys,DevOps Intern,DevOps,Kolkata,12000,5,"CI/CD, Python",Hybrid,7,Bachelor,Fresher
INT1162,Amazon,DevOps Intern,DevOps,Hyderabad,15000,4,"Linux, CI/CD, Docker, Python",Remote,4,Bachelor,Fresher
INT1163,Google,ML Engineer Intern,AI/ML,Bangalore,20000,1,"PyTorch, Model Deployment, Python",Remote,2,Bachelor,1-2 Years
INT1164,Wipro,Cloud Intern,Cloud Computing,Delhi,10000,6,"Azure, Terraform",Onsite,4,Master,Fresher
INT1165,Accenture,Business Analyst Intern,Business Analytics,Hyderabad,10000,3,"Requirements Gathering, Business Analytics, SQL",Onsite,9,High School,Fresher
INT1166,HCL,Software Engineer Intern,Software Development,Chennai,12000,6,"Algorithms, Git, Java, Data Structures",Remote,4,Bachelor,Fresher
INT1167,Amazon,Software Engineer Intern,Software Development,Mumbai,15000,4,"Java, Git",Onsite,1,High School,Fresher
INT1168,Accenture,ML Engineer Intern,AI/ML,Chennai,15000,3,"TensorFlow, PyTorch",Hybrid,6,Bachelor,Fresher
INT1169,Google,Web Developer Intern,Web Development,Mumbai,10000,3,"SQL, React",Remote,2,Bachelor,Fresher
INT1170,Google,Business Analyst Intern,Business Analytics,Bangalore,8000,5,"Requirements Gathering, SQL, Business Analytics, Power BI",Onsite,9,Bachelor,1-2 Years
INT1171,Oracle,AI Research Intern,AI/ML,Chennai,15000,1,"Deep Learning, NLP, TensorFlow, Machine Learning",Onsite,8,Bachelor,Fresher
INT1172,IBM,Data Analyst Intern,Data Science,Delhi,8000,4,"Tableau, Python, Excel, Pandas",Onsite,1,Bachelor,Fresher
INT1173,HCL,DevOps Intern,DevOps,Remote,12000,6,"Linux, Docker, CI/CD",Onsite,4,Bachelor,Fresher
INT1174,Infosys,Software Engineer Intern,Software Development,Mumbai,10000,1,"C++, Algorithms, Python, Data Structures",Onsite,3,Bachelor,Fresher
INT1175,HCL,Software Engineer Intern,Software Development,Chennai,8000,6,"Python, Data Structures",Remote,10,Bachelor,Fresher
INT1176,Google,Cloud Intern,Cloud Computing,Hyderabad,20000,2,"Cloud, Docker, Terraform, Kubernetes",Onsite,2,Bachelor,2-4 Years
INT1177,HCL,DevOps Intern,DevOps,Remote,12000,3,"CI/CD, Python, DevOps, Jenkins",Remote,4,Diploma,Fresher
INT1178,Amazon,Business Analyst Intern,Business Analytics,Chennai,5000,4,"SQL, Requirements Gathering, Business Analytics, Power BI",Onsite,1,Bachelor,Fresher
INT1179,TCS,UI/UX Intern,UI/UX,Hyderabad,8000,3,"Figma, UI/UX, HTML/CSS/JS, User Research",Remote,4,Bachelor,1-2 Years
INT1180,TCS,Business Analyst Intern,Business Analytics,Bangalore,12000,3,"Power BI, Business Analytics, SQL",Remote,4,Bachelor,2-4 Years
INT1181,HCL,Cybersecurity Intern,Cybersecurity,Kolkata,8000,4,"Cybersecurity, Wireshark",Onsite,1,Bachelor,Fresher
INT1182,Wipro,Data Analyst Intern,Data Science,Remote,5000,5,"Power BI, Python, Excel, Tableau",Onsite,6,Bachelor,1-2 Years
INT1183,Accenture,ML Engineer Intern,AI/ML,Kolkata,10000,5,"TensorFlow, Deep Learning, Machine Learning",Onsite,6,Bachelor,Fresher
INT1184,Amazon,ML Engineer Intern,AI/ML,Hyderabad,20000,4,"TensorFlow, Machine Learning, PyTorch",Onsite,1,Master,Fresher
INT1185,TCS,DevOps Intern,DevOps,Chennai,8000,5,"DevOps, Kubernetes, CI/CD",Hybrid,4,Bachelor,Fresher
INT1186,HCL,Cloud Intern,Cloud Computing,Delhi,15000,2,"Cloud, GCP",Onsite,9,Bachelor,Fresher
INT1187,Oracle,DevOps Intern,DevOps,Chennai,15000,1,"Python, CI/CD, Kubernetes",Onsite,2,High School,Fresher
INT1188,TCS,Cybersecurity Intern,Cybersecurity,Delhi,12000,2,"Network Security, Penetration Testing",Onsite,1,Bachelor,Fresher
INT1189,Google,Business Analyst Intern,Business Analytics,Mumbai,10000,3,"Power BI, Excel, SQL",Remote,3,Bachelor,Fresher
INT1190,Oracle,ML Engineer Intern,AI/ML,Remote,15000,6,"TensorFlow, Machine Learning, PyTorch",Onsite,6,Master,Fresher
INT1191,Wipro,Cloud Intern,Cloud Computing,Remote,20000,5,"AWS, Terraform, Azure, Kubernetes",Remote,4,Bachelor,1-2 Years
INT1192,Infosys,UI/UX Intern,UI/UX,Delhi,10000,1,"User Research, Figma",Remote,8,Bachelor,Fresher
INT1193,Amazon,Cybersecurity Intern,Cybersecurity,Mumbai,8000,2,"Network Security, Linux, Cybersecurity, Wireshark",Remote,6,Diploma,Fresher
INT1194,Infosys,Cybersecurity Intern,Cybersecurity,Chennai,15000,2,"Python, Linux, Network Security",Hybrid,10,Bachelor,Fresher
INT1195,Accenture,UI/UX Intern,UI/UX,Delhi,5000,3,"Prototyping, Figma, User Research, HTML/CSS/JS",Onsite,3,Bachelor,Fresher
INT1196,TCS,Software Engineer Intern,Software Development,Mumbai,15000,5,"Git, Java, Linux",Onsite,8,Bachelor,Fresher
INT1197,HCL,AI Research Intern,AI/ML,Chennai,20000,2,"PyTorch, TensorFlow, Deep Learning, Python",Onsite,1,Bachelor,Fresher
INT1198,Google,Cloud Intern,Cloud Computing,Mumbai,15000,5,"Azure, Kubernetes",Onsite,7,Bachelor,Fresher
INT1199,Amazon,Cybersecurity Intern,Cybersecurity,Remote,15000,1,"Penetration Testing, Wireshark, Cybersecurity",Remote,3,Bachelor,Fresher
INT1200,IBM,Software Engineer Intern,Software Development,Mumbai,12000,3,"Java, Data Structures, Linux, Python",Onsite,7,Diploma,Fresher
INT1201,IBM,Data Analyst Intern,Data Science,Delhi,5000,2,"Pandas, Power BI, Statistics, SQL",Onsite,2,Bachelor,Fresher
INT1202,Amazon,Data Analyst Intern,Data Science,Pune,8000,4,"Power BI, Statistics",Onsite,4,Master,2-4 Years
INT1203,IBM,UI/UX Intern,UI/UX,Bangalore,5000,5,"Prototyping, User Research, HTML/CSS/JS",Remote,8,Bachelor,Fresher
INT1204,Wipro,Software Engineer Intern,Software Development,Bangalore,8000,2,"Java, Algorithms",Onsite,8,Bachelor,Fresher
INT1205,Accenture,UI/UX Intern,UI/UX,Delhi,8000,5,"User Research, Figma",Onsite,10,Bachelor,Fresher
INT1206,Google,Web Developer Intern,Web Development,Kolkata,10000,2,"REST APIs, Node.js",Onsite,5,Bachelor,Fresher
INT1207,TCS,ML Engineer Intern,AI/ML,Pune,10000,1,"Model Deployment, PyTorch, TensorFlow, Python",Onsite,2,Bachelor,Fresher
INT1208,Infosys,AI Research Intern,AI/ML,Pune,20000,6,"Deep Learning, NLP, TensorFlow, Python",Onsite,5,Bachelor,Fresher
INT1209,Oracle,Web Developer Intern,Web Development,Hyderabad,10000,4,"React, Bootstrap, REST APIs",Hybrid,10,High School,Fresher
INT1210,Accenture,Cybersecurity Intern,Cybersecurity,Delhi,8000,5,"Network Security, Cybersecurity, Penetration Testing, Python",Onsite,1,High School,Fresher
INT1211,Google,Business Analyst Intern,Business Analytics,Mumbai,10000,2,"Excel, Communication",Remote,7,Bachelor,Fresher
INT1212,Google,Cybersecurity Intern,Cybersecurity,Chennai,8000,3,"Cybersecurity, Linux",Onsite,4,High School,Fresher
INT1213,HCL,ML Engineer Intern,AI/ML,Delhi,10000,6,"Python, Model Deployment",Onsite,10,Bachelor,Fresher
INT1214,Amazon,Software Engineer Intern,Software Development,Remote,15000,6,"Data Structures, Java, Linux, Python",Onsite,1,Bachelor,Fresher
INT1215,Infosys,Data Analyst Intern,Data Science,Bangalore,10000,6,"Python, Power BI, Statistics, Excel",Onsite,5,Bachelor,2-4 Years
INT1216,TCS,AI Research Intern,AI/ML,Pune,15000,5,"TensorFlow, Python, PyTorch, Deep Learning",Hybrid,8,Master,Fresher
INT1217,Wipro,Cloud Intern,Cloud Computing,Mumbai,15000,4,"Docker, Azure",Remote,6,Master,Fresher
INT1218,HCL,Cloud Intern,Cloud Computing,Hyderabad,15000,4,"AWS, Docker, GCP",Hybrid,5,Master,Fresher
INT1219,Amazon,UI/UX Intern,UI/UX,Remote,10000,2,"Prototyping, User Research, UI/UX",Onsite,6,Bachelor,Fresher
INT1220,Accenture,Data Analyst Intern,Data Science,Hyderabad,10000,5,"Tableau, Power BI, SQL",Remote,3,Diploma,Fresher
INT1221,Amazon,Software Engineer Intern,Software Development,Delhi,8000,5,"Python, Algorithms, Data Structures",Onsite,1,High School,Fresher
INT1222,Infosys,AI Research Intern,AI/ML,Kolkata,15000,6,"NLP, Deep Learning, TensorFlow, Python",Remote,6,Bachelor,1-2 Years
INT1223,IBM,Business Analyst Intern,Business Analytics,Pune,8000,6,"Communication, Requirements Gathering, Excel",Remote,3,Diploma,1-2 Years
INT1224,Google,Software Engineer Intern,Software Development,Chennai,10000,4,"Java, Python, C++",Onsite,4,High School,Fresher
INT1225,Google,Data Analyst Intern,Data Science,Kolkata,5000,1,"Python, SQL, Power BI",Onsite,2,Master,Fresher
INT1226,HCL,Business Analyst Intern,Business Analytics,Remote,8000,3,"Business Analytics, Requirements Gathering, Communication",Onsite,10,Bachelor,Fresher
INT1227,Wipro,Data Analyst Intern,Data Science,Chennai,10000,6,"Excel, Statistics, Python",Onsite,7,Bachelor,Fresher
INT1228,Microsoft,ML Engineer Intern,AI/ML,Chennai,15000,1,"TensorFlow, Python",Onsite,9,Bachelor,Fresher
INT1229,Google,ML Engineer Intern,AI/ML,Remote,20000,4,"Model Deployment, Deep Learning, Machine Learning",Onsite,5,Bachelor,Fresher
INT1230,Google,Web Developer Intern,Web Development,Kolkata,8000,4,"SQL, HTML/CSS/JS, Bootstrap, REST APIs",Onsite,10,Diploma,Fresher
INT1231,Amazon,Cybersecurity Intern,Cybersecurity,Delhi,12000,3,"Cybersecurity, Penetration Testing, Python, Wireshark",Hybrid,1,Bachelor,Fresher
INT1232,Wipro,Software Engineer Intern,Software Development,Kolkata,10000,1,"Git, Linux",Onsite,3,Bachelor,Fresher
INT1233,Accenture,Business Analyst Intern,Business Analytics,Bangalore,5000,2,"SQL, Requirements Gathering, Excel",Onsite,10,Bachelor,Fresher
INT1234,Wipro,Data Analyst Intern,Data Science,Kolkata,12000,4,"Tableau, Power BI, Excel, Python",Onsite,7,Bachelor,Fresher
INT1235,IBM,ML Engineer Intern,AI/ML,Hyderabad,10000,1,"PyTorch, Machine Learning, Model Deployment",Onsite,10,Bachelor,Fresher
INT1236,Accenture,Cloud Intern,Cloud Computing,Pune,20000,4,"Azure, GCP, Cloud, AWS",Onsite,1,Bachelor,Fresher
INT1237,Wipro,Data Analyst Intern,Data Science,Bangalore,5000,5,"Python, Tableau, Statistics",Remote,10,Bachelor,1-2 Years
INT1238,Microsoft,AI Research Intern,AI/ML,Kolkata,15000,4,"Machine Learning, NLP, TensorFlow",Onsite,3,Bachelor,Fresher
INT1239,Wipro,Web Developer Intern,Web Development,Hyderabad,12000,5,"React, REST APIs, SQL, HTML/CSS/JS",Hybrid,2,Bachelor,Fresher
INT1240,Accenture,AI Research Intern,AI/ML,Pune,10000,3,"TensorFlow, Python, NLP",Remote,1,Bachelor,1-2 Years
INT1241,Microsoft,ML Engineer Intern,AI/ML,Pune,20000,4,"Machine Learning, Model Deployment, TensorFlow, Deep Learning",Remote,3,Bachelor,Fresher
INT1242,Wipro,DevOps Intern,DevOps,Mumbai,15000,2,"DevOps, Kubernetes, Python, Jenkins",Remote,1,Bachelor,Fresher
INT1243,HCL,Cybersecurity Intern,Cybersecurity,Hyderabad,15000,4,"Penetration Testing, Linux, Wireshark, Network Security",Onsite,10,Bachelor,Fresher
INT1244,Infosys,Cloud Intern,Cloud Computing,Pune,20000,3,"Docker, Terraform, Cloud, Azure",Hybrid,5,Bachelor,1-2 Years
INT1245,Infosys,Business Analyst Intern,Business Analytics,Delhi,8000,3,"Business Analytics, Communication",Remote,7,Bachelor,Fresher
INT1246,IBM,Business Analyst Intern,Business Analytics,Mumbai,8000,6,"Communication, Business Analytics",Remote,9,Bachelor,Fresher
INT1247,Wipro,Web Developer Intern,Web Development,Hyderabad,8000,2,"SQL, Node.js",Remote,6,Diploma,1-2 Years
INT1248,IBM,AI Research Intern,AI/ML,Chennai,20000,3,"TensorFlow, Deep Learning, NLP",Onsite,10,Bachelor,2-4 Years
INT1249,TCS,DevOps Intern,DevOps,Delhi,12000,4,"DevOps, CI/CD",Onsite,9,Bachelor,Fresher
INT1250,Google,Data Analyst Intern,Data Science,Chennai,5000,4,"Power BI, Pandas, Tableau",Onsite,6,Bachelor,Fresher
INT1251,Google,Data Analyst Intern,Data Science,Pune,10000,2,"Excel, Python",Remote,7,Bachelor,Fresher
INT1252,TCS,Data Analyst Intern,Data Science,Pune,10000,3,"Excel, Tableau",Onsite,4,Bachelor,Fresher
INT1253,Amazon,UI/UX Intern,UI/UX,Pune,10000,2,"Figma, Design Thinking, UI/UX",Onsite,7,Bachelor,Fresher
INT1254,Amazon,Software Engineer Intern,Software Development,Pune,8000,1,"Data Structures, Algorithms, C++, Git",Onsite,7,Bachelor,Fresher
INT1255,Microsoft,AI Research Intern,AI/ML,Kolkata,20000,3,"Python, NLP, Machine Learning",Onsite,10,Bachelor,Fresher
INT1256,IBM,DevOps Intern,DevOps,Pune,15000,4,"Kubernetes, Python, CI/CD, Linux",Onsite,5,Diploma,Fresher
INT1257,Oracle,Cloud Intern,Cloud Computing,Pune,20000,4,"Cloud, GCP, Docker",Remote,10,Bachelor,Fresher
INT1258,Infosys,DevOps Intern,DevOps,Delhi,8000,2,"Python, Kubernetes",Onsite,7,Bachelor,Fresher
INT1259,Google,DevOps Intern,DevOps,Kolkata,15000,6,"Kubernetes, DevOps, Jenkins, CI/CD",Onsite,1,Bachelor,Fresher
INT1260,HCL,ML Engineer Intern,AI/ML,Delhi,10000,4,"Model Deployment, TensorFlow, PyTorch",Onsite,4,Bachelor,2-4 Years
INT1261,Amazon,Web Developer Intern,Web Development,Bangalore,8000,1,"React, REST APIs",Hybrid,6,Diploma,Fresher
